Category,Subcategory,Amount,Comment
BUDGET,Transport,60,
BUDGET,Car,0,
BUDGET,Groceries,110,
BUDGET,Snacks,35,
BUDGET,Lunch,80,
BUDGET,Eating out,100,
BUDGET,Alcohol,100,
BUDGET,Shopping,40,
BUDGET,Electronics,25,
BUDGET,Personal care,20,
BUDGET,Clothes,30,
BUDGET,Gifts,25,
BUDGET,Holidays,0,
BUDGET,Entertainment,75,
BUDGET,Income,0,
BUDGET,Bills,750,
BUDGET,General,0,
BUDGET,Charity,0,
BUDGET,Expenses,0,
BUDGET,Family,0,
BUDGET,Finances,0,
BUDGET,Transfers,0,
BUDGET,Savings,0,
INCOME,Paycheck,2035.35,positive
INCOME,Income Tax,-290.35,negative
INCOME,National Insurance,-174.3,negative
INCOME,Student Loan,-20,negative
ACCOUNTS,Monzo: Current,15.23,
ACCOUNTS,Monzo: Rainy Day,0,
ACCOUNTS,Monzo: Treats,0,
ACCOUNTS,Monzo: Holidays,0,
ACCOUNTS,Monzo: Savings,0,
ACCOUNTS,HSBC: Current,3.45,
ACCOUNTS,HSBC: Savings,1000,
