Category,Subcategory,Amount,Comment
DATE,01/01/2023,02/01/2023,
BUDGET,Transport,100,
BUDGET,Car,0,
BUDGET,Groceries,125,
BUDGET,Snacks,25,
BUDGET,Lunch,60,
BUDGET,Eating out,100,
BUDGET,Alcohol,75,
BUDGET,Shopping,40,
BUDGET,Electronics,25,
BUDGET,Personal care,20,
BUDGET,Clothes,30,
BUDGET,Gifts,25,
BUDGET,Holidays,0,
BUDGET,Entertainment,75,
BUDGET,Income,0,
BUDGET,Bills,655,
BUDGET,General,0,
BUDGET,Charity,0,
BUDGET,Expenses,0,
BUDGET,Family,0,
BUDGET,Finances,0,
BUDGET,Transfers,0,
BUDGET,Savings,0,
INCOME,Paycheck,1108.33,positive
INCOME,Income Tax,-221.6,negative
INCOME,National Insurance,-7.34,negative
INCOME,Student Loan,0,negative
ACCOUNTS,Monzo: Current,1300,
ACCOUNTS,Monzo: Rainy Day,0,
ACCOUNTS,Monzo: Treats,0,
ACCOUNTS,Monzo: Holidays,0,
ACCOUNTS,Monzo: Savings,0,
ACCOUNTS,HSBC: Current,600,
ACCOUNTS,HSBC: Savings,1234,
